dataset_id,block_index,block_start,block_end,threshold_mgL,cadence_hours,phase_index,max_slope_mgL_per_hour,reference_L_compatible,horizon_hours,n_sparse_reports,reference_occupation_hours,reference_deficit_mgL_hours,status,error,occupation_lower,occupation_upper,occupation_width_fraction,deficit_lower_mgL_hours,deficit_upper_unconstrained_mgL_hours,deficit_upper_nonnegative_mgL_hours,deficit_width_fraction_unconstrained_H_times_T,deficit_width_fraction_nonnegative_H_times_T,deficit_width_fraction_reduction,occupation_reference_covered,deficit_reference_covered
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,0,13.203959999999936,False,168.0,43,76.47683129492455,210.74025803165276,feasible,,7.411412939754394,148.6186931799246,0.8405195252391083,13.279750923207688,1952.4379993205523,687.3491816091521,2.308521724282553,0.8024636079594577,1.506058116323095,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,1,13.203959999999936,False,164.0,42,74.26442881279907,206.80827289365212,feasible,,8.018806479268335,143.25546578450698,0.8246137762514552,15.127658672095217,1888.4775753018234,663.6154759632714,2.284573069060644,0.7908388015746051,1.4937342674860388,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,2,13.203959999999936,False,164.0,42,74.26442881279907,206.80827289365212,feasible,,8.194511343566637,145.92511943386674,0.8398207810384153,15.415375387383717,1954.7759418070227,677.5545518162727,2.3650738614873648,0.8074868005230353,1.5575870609643294,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,3,13.203959999999936,False,164.0,42,74.26442881279907,206.80827289365212,feasible,,8.196026040672631,146.59915964604548,0.8439215463742248,14.935133096434637,1970.0945921513126,681.4125686536456,2.3843408037254608,0.8127773604356232,1.5715634432898375,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,4,13.203959999999936,False,164.0,42,74.26442881279907,206.80827289365212,feasible,,7.985483142935852,146.84151118300863,0.8466830978053218,14.356268876912429,1969.293557946421,682.1504760692997,2.3840698647189127,0.8143831795029113,1.5696866852160014,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,5,13.203959999999936,False,164.0,42,74.26442881279907,206.80827289365212,feasible,,8.043041632964629,145.06552882620062,0.8355029706904634,14.924401467438381,1935.9388234728274,672.9902241448774,2.3427005146407183,0.8025192959480963,1.5401812186926218,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,6,13.203959999999936,False,164.0,42,74.3874126837668,206.84578297429726,feasible,,7.749947742949943,146.60218904025754,0.8466600079104121,13.347560125901818,1961.0856730846117,680.784897106625,2.3752903816569635,0.8139479719277111,1.5613424097292525,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,7,13.203959999999936,False,164.0,42,74.6374126837668,206.96953297429727,feasible,,8.326289991790356,146.5196380479794,0.8426423661962748,14.208086059030817,1975.353141965157,682.3933274563077,2.3916403120806415,0.814860050484484,1.5767802615961575,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,8,13.203959999999936,False,164.0,42,74.7750938431871,206.99569239458714,feasible,,8.807963671504622,146.9270915694988,0.8421898042560622,15.78575669723317,1998.5634615056597,685.2612928242737,2.418021591229788,0.8164335806427323,1.601588010587056,True,True
mddnr_Bishopville_Prong,2,2018-06-15 00:30:00+00:00,2018-06-22 00:30:00+00:00,5.0,4.0,9,13.203959999999936,False,164.0,42,74.7750938431871,206.99569239458714,feasible,,8.850375190473175,146.38331530843763,0.8386154885241734,15.128166095625788,1986.1861572423918,683.4120597154177,2.4037292574960563,0.8149803580729169,1.5887488994231393,True,True
